Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
1,0,0,0,0,0,9276418
0,0,0,1,0,0,9276432
0,0,0,1,0,0,9276519
0,0,0,1,0,0,9276520
0,0,0,1,0,0,9276521
1,0,0,0,0,0,9277497
1,1,0,0,0,0,9278327
0,1,0,0,0,0,9278379
0,0,0,1,0,0,9278617
0,1,0,0,0,0,9278896
0,1,0,0,0,0,9279113
0,1,0,0,0,0,9279135
0,1,0,0,0,0,9279162
0,0,0,1,0,0,9279176
0,0,0,1,0,0,9279188
0,1,0,0,0,0,9279190
0,0,0,1,0,0,9279415
0,0,0,1,0,0,9279416
0,0,0,1,0,0,9279417
0,0,0,1,0,0,9279457
0,0,0,1,0,0,9279601
0,0,0,1,0,0,9279602
0,0,0,1,0,0,9279790
0,0,0,1,0,0,9279910
0,0,0,1,0,0,9279914
0,0,0,1,0,0,9280042
0,0,0,1,0,0,9280797
0,0,0,1,0,0,9281131
0,0,0,1,0,0,9281132
0,0,0,1,0,0,9281419
0,0,0,1,0,0,9281426
0,0,0,1,0,0,9281429
0,0,0,1,0,0,9281430
0,0,0,1,0,0,9281431
0,0,0,1,0,0,9281432
0,0,0,1,0,0,9281435
0,0,0,1,0,0,9281436
0,1,0,0,0,0,9283537
0,1,0,0,0,0,9283551
0,0,0,1,0,0,9284069
0,1,0,0,0,0,9284115
0,1,0,0,0,0,9284204
0,1,0,0,0,0,9284242
0,1,0,0,0,0,9284503
0,1,0,0,0,0,9284504
0,1,0,0,0,0,9284566
0,1,0,0,0,0,9284582
0,1,0,0,0,0,9284614
0,1,0,0,0,0,9284615
0,1,0,0,0,0,9284616
0,0,0,1,0,0,9284639
0,0,0,1,0,0,9284656
0,0,0,1,0,0,9284661
0,0,0,0,1,0,9284940
0,0,0,1,0,0,9284951
0,0,1,0,0,0,9284952
1,0,0,0,0,0,9285112
0,0,0,1,0,0,9285139
0,0,0,1,0,0,9285144
0,0,0,1,0,0,9285816
0,0,0,1,0,0,9286646
0,0,0,1,0,0,9286813
0,0,0,1,0,0,9287052
0,0,0,1,0,0,9287056
0,0,0,1,0,0,9287057
0,0,0,1,0,0,9287419
0,0,0,1,0,0,9287420
0,0,0,1,0,0,9287421
0,0,0,1,0,0,9287422
0,0,0,1,0,0,9287424
0,0,0,1,0,0,9287427
0,0,0,1,0,0,9287429
0,0,0,1,0,0,9287430
0,0,0,1,0,0,9287431
0,0,0,1,0,0,9287437
0,0,0,1,0,0,9287438
0,0,0,1,0,0,9287439
0,0,0,1,0,0,9287551
0,0,0,1,0,0,9287701
0,0,0,1,0,0,9287801
0,1,0,0,0,0,9289011
0,0,1,1,0,1,9289696
0,0,0,1,0,0,9290258
0,0,0,1,0,0,9290398
0,1,0,0,0,0,9290429
0,1,0,0,0,0,9290612
0,1,0,0,0,0,9290613
0,1,0,0,0,0,9290614
0,1,0,0,0,0,9290704
0,1,0,0,0,0,9290707
0,1,0,0,0,0,9290768
0,1,0,0,0,0,9290780
0,1,0,0,0,0,9290784
0,1,0,0,0,0,9290802
0,1,0,0,0,0,9290821
0,0,0,1,0,0,9290852
0,0,1,0,0,0,9291286
0,0,0,1,0,0,9291365
0,0,0,1,0,0,9291366
0,0,0,1,0,0,9291367
0,0,0,1,0,0,9291368
0,0,0,1,0,0,9291370
0,0,0,1,0,0,9291494
0,0,0,1,0,0,9291696
1,0,0,0,0,0,9293265
0,0,0,1,0,0,9293327
0,0,0,1,0,0,9293553
0,0,0,1,0,0,9293607
0,0,0,1,0,0,9293609
0,0,0,1,0,0,9293610
0,0,0,1,0,0,9293611
0,0,0,1,0,0,9293613
0,0,0,1,0,0,9293614
0,0,0,1,0,0,9293616
0,0,0,1,0,0,9293618
0,0,0,1,0,0,9293619
0,0,0,1,0,0,9293620
0,0,0,1,0,0,9293621
0,0,0,1,0,0,9293623
0,0,0,1,0,0,9293624
0,0,0,1,0,0,9293632
0,0,0,1,0,0,9293633
0,0,0,1,0,0,9293635
0,0,0,1,0,0,9293636
0,0,0,1,0,0,9293707
0,0,0,1,0,0,9293720
0,0,0,1,0,0,9293915
0,0,0,1,0,1,9293947
0,0,0,1,0,0,9293948
0,0,0,1,0,0,9294032
0,0,0,1,0,0,9294033
0,0,0,1,0,0,9294034
0,1,0,0,0,0,9295205
0,1,0,0,0,0,9295274
0,1,0,0,0,0,9296131
0,1,0,0,0,0,9296830
0,0,0,1,0,0,9296848
0,0,0,1,0,0,9296864
0,0,0,1,0,0,9296899
0,0,1,0,0,0,9296940
0,1,0,0,0,0,9296962
0,1,0,0,0,0,9296985
0,1,0,0,0,0,9297020
0,1,0,0,0,0,9297021
0,0,0,0,1,0,9297240
0,0,1,1,0,0,9297366
