Biosensor 2 Term,Biosensor Term,Micro Term,Molecular Motor Term,Nano Term,Quantum Term,Quasi Term,Self Term,exclusion,id,measure_exclusion,selection
False,False,False,False,True,False,False,False,False,9211283,False,True
False,False,False,False,True,False,False,False,False,9211346,False,True
False,False,False,False,True,False,False,False,False,9211419,False,True
False,False,False,False,True,False,False,False,False,9211510,False,True
False,False,True,False,False,False,False,False,False,9211678,False,True
False,False,False,False,True,False,False,False,False,9211688,False,True
False,False,True,False,True,False,False,False,False,9212055,False,True
False,False,False,False,True,False,False,False,False,9212056,False,True
False,False,True,False,False,False,False,False,False,9212058,False,True
False,False,False,True,False,False,False,False,False,9212063,False,True
False,False,False,False,True,False,False,False,False,9212145,False,True
False,False,False,False,True,False,False,False,False,9212193,False,True
False,False,False,False,True,False,False,False,False,9212204,False,True
False,False,False,False,True,False,False,False,False,9212267,False,True
False,False,True,False,False,False,False,False,False,9212268,False,True
False,False,False,False,True,False,False,False,False,9212273,False,True
False,False,False,False,True,False,False,False,False,9212285,False,True
False,False,True,False,False,False,False,False,False,9212292,False,True
False,False,False,False,True,False,False,False,False,9212294,False,True
False,False,False,False,False,True,False,False,False,9212389,False,True
False,False,False,True,False,False,False,False,False,9212394,False,True
False,False,True,False,False,False,False,False,False,9212416,False,True
False,True,False,False,False,False,False,False,False,9212430,False,True
False,True,False,False,False,False,False,False,False,9212895,False,True
False,False,False,False,True,False,False,False,False,9212950,False,True
False,False,False,False,True,False,False,False,False,9213187,False,True
False,False,False,False,True,False,False,False,False,9213191,False,True
False,False,False,False,True,False,False,False,False,9213192,False,True
False,False,True,False,False,False,False,False,False,9213206,False,True
False,True,False,False,False,False,False,False,False,9213236,False,True
False,False,False,False,True,False,False,False,False,9213248,False,True
False,False,True,False,False,False,False,False,False,9213561,False,True
False,False,True,False,False,False,False,False,False,9213593,False,True
False,False,True,False,False,False,False,False,False,9213929,False,True
False,False,True,False,False,True,True,False,False,9213945,False,True
False,False,True,False,False,False,False,False,False,9214218,False,True
False,False,True,False,False,False,False,False,False,9214226,False,True
False,False,True,False,False,False,False,False,False,9214227,False,True
False,False,True,False,False,False,False,False,False,9214228,False,True
False,False,True,False,False,False,False,False,False,9214234,False,True
False,False,True,False,False,False,False,False,False,9214239,False,True
False,False,True,False,False,False,False,False,False,9214241,False,True
False,False,False,False,True,False,False,False,False,9214256,False,True
False,False,False,False,True,False,False,False,False,9214258,False,True
False,False,True,False,False,False,False,False,False,9214280,False,True
False,False,True,False,False,False,False,False,False,9214281,False,True
False,False,False,True,False,False,False,False,False,9214286,False,True
False,False,False,True,False,False,False,False,False,9214287,False,True
False,False,True,True,True,False,False,False,False,9214288,False,True
False,False,False,False,True,False,False,False,False,9214332,False,True
False,False,True,False,False,False,False,False,False,9214333,False,True
False,False,True,False,False,False,False,False,False,9214334,False,True
False,False,False,True,False,False,False,False,False,9214338,False,True
False,False,True,False,False,False,False,False,False,9214349,False,True
False,False,True,False,False,False,False,False,False,9214350,False,True
False,False,True,False,False,False,False,False,False,9214354,False,True
False,False,True,False,False,False,False,False,False,9214379,False,True
False,False,True,False,False,False,False,False,False,9214380,False,True
False,False,True,False,False,False,False,False,False,9214389,False,True
False,False,True,False,False,False,False,False,False,9214393,False,True
False,True,False,False,True,False,False,False,False,9214420,False,True
False,False,False,False,True,False,False,False,False,9214429,False,True
False,False,True,False,False,False,False,False,False,9214464,False,True
False,False,True,False,False,False,False,False,False,9214465,False,True
