Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
False,False,False,True,False,False,9306088
False,False,False,True,False,False,9306089
False,False,False,True,False,False,9306092
False,False,False,True,False,False,9306093
False,False,False,True,False,False,9306095
False,False,False,True,False,False,9306100
False,False,False,True,False,False,9306101
False,False,False,True,False,False,9306102
False,False,False,True,False,False,9306103
False,False,False,True,False,False,9306105
False,False,False,True,False,False,9306106
False,False,False,True,False,False,9306107
False,False,False,True,False,False,9306414
False,False,False,True,False,False,9306471
False,False,False,True,False,False,9307650
False,True,False,False,False,False,9307782
True,False,False,False,False,True,9308969
False,True,False,False,False,False,9309115
False,True,False,False,False,False,9309121
False,False,False,True,False,False,9309124
False,True,False,False,False,False,9309332
False,True,False,False,False,False,9309444
False,True,False,False,False,False,9309452
False,True,False,False,False,False,9309471
False,True,False,False,False,False,9309474
False,True,False,False,False,False,9309538
False,True,False,False,False,False,9309545
False,True,False,False,False,False,9309548
False,True,False,False,False,False,9309577
False,True,False,False,False,False,9309621
False,False,False,False,True,False,9309860
False,False,False,True,False,False,9309869
False,False,False,True,False,False,9310099
False,False,False,True,False,False,9310100
False,False,False,True,False,False,9310101
False,False,False,True,False,False,9310102
False,False,False,True,False,False,9310138
False,False,False,True,False,False,9310249
False,False,False,True,False,False,9310822
False,False,False,True,False,False,9312042
False,False,False,True,False,False,9312045
False,False,False,True,False,False,9312399
False,False,False,True,False,False,9312404
False,False,False,True,False,False,9312405
False,False,False,True,False,False,9312406
False,False,False,True,False,False,9312409
False,False,False,True,False,False,9312412
False,False,False,True,False,False,9312413
False,False,False,True,False,False,9312419
False,False,False,True,False,False,9312420
False,False,False,True,False,False,9312425
False,False,False,True,False,False,9312426
False,False,False,True,False,False,9312697
True,False,True,False,False,True,9312698
False,False,False,True,False,False,9312724
False,False,False,True,False,False,9312804
False,False,False,True,False,False,9312805
False,False,False,True,False,False,9314770
False,False,False,True,False,False,9314811
False,False,False,True,False,False,9315088
False,False,False,True,False,False,9315267
False,True,False,False,False,False,9315434
False,False,False,True,False,False,9315516
True,False,False,False,False,False,9315735
False,True,False,False,False,False,9315739
False,True,False,False,False,False,9315746
False,True,False,False,False,False,9315750
False,True,False,False,False,False,9315833
False,True,False,False,False,False,9315834
False,True,False,False,False,False,9315838
False,True,False,False,False,False,9315840
False,True,False,False,False,False,9315845
True,False,False,False,False,False,9315910
False,False,False,True,False,False,9316010
False,False,False,True,False,False,9316124
False,False,False,True,False,False,9316404
False,False,False,True,False,False,9316414
False,False,False,True,False,False,9316415
False,False,False,True,False,False,9316416
False,False,False,True,False,False,9318270
False,False,False,True,False,False,9318295
False,False,False,True,False,False,9318625
False,False,False,True,False,False,9318626
False,False,False,True,False,False,9318632
False,False,False,True,False,False,9318634
False,False,False,True,False,False,9318635
False,False,False,True,False,False,9318637
False,False,False,True,False,False,9318643
False,False,False,True,False,False,9318644
False,False,False,True,False,False,9318707
False,False,False,True,False,False,9318905
False,False,False,True,False,False,9318994
False,False,False,True,False,False,9318996
False,False,False,True,False,False,9320926
False,True,False,False,False,False,9320987
False,True,False,False,False,False,9321056
False,False,False,True,False,False,9321352
False,False,False,True,False,False,9321583
False,True,False,False,False,False,9321850
False,False,False,True,False,False,9321943
False,True,False,False,False,False,9322038
False,True,False,False,False,False,9322072
True,True,False,False,False,False,9322133
False,True,False,False,False,False,9322134
False,False,True,False,False,False,9322258
False,False,False,True,False,False,9322437
False,False,False,True,False,False,9322573
False,False,False,True,False,False,9322574
False,False,False,True,False,False,9322575
False,False,False,True,False,False,9322786
False,False,False,True,False,False,9322951
False,False,False,True,False,False,9324473
False,False,False,True,False,False,9324504
False,False,False,True,False,False,9324505
False,False,False,True,False,False,9324770
False,False,False,True,False,False,9324885
False,False,False,True,False,False,9324886
False,False,False,True,False,False,9324887
False,False,False,True,False,False,9324888
False,False,False,True,False,False,9324890
False,False,False,True,False,False,9324891
False,False,False,True,False,False,9324893
False,False,False,True,False,False,9324894
False,False,False,True,False,False,9324895
False,False,False,True,False,False,9324896
False,False,False,True,False,False,9324898
False,False,False,True,False,False,9324899
False,False,False,True,False,False,9324901
False,False,False,True,False,True,9325173
False,False,False,True,False,False,9325364
False,False,False,True,False,False,9326497
False,False,True,False,False,False,9327207
False,True,False,False,False,False,9327208
True,False,False,True,False,False,9327816
False,True,False,False,False,False,9328021
False,True,False,False,False,False,9328032
False,True,False,False,False,False,9328045
False,False,False,True,False,False,9328109
False,True,False,False,False,False,9328188
False,False,False,True,False,False,9328194
False,False,False,True,False,False,9328203
False,False,False,True,False,False,9328204
False,True,False,False,False,False,9328290
False,True,False,False,False,False,9328310
False,True,False,False,False,False,9328311
False,True,False,False,False,False,9328353
False,True,False,False,False,False,9328365
False,True,False,False,False,False,9328393
False,False,False,True,False,False,9328426
False,False,False,True,False,False,9328427
False,False,False,True,False,False,9328601
False,False,False,True,False,False,9328659
