,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,0
168586,"ROGERS MACHINERY COMPANY, INC.",,3509 GALVIN RD,,CENTRALIA,WA,98531,9002.0,USA,3.0,,2L,OR,usa,"['http://www.rogers-machinery.com/', 'https://www.linkedin.com/company/rogers-machinery-company-inc.', 'http://www.rogers-machinery.com/contact-us/', 'http://knw-series.com/', 'http://www.rogers-machinery.com/careers/', 'http://www.thomasnet.com/profile/10046219/rogers-machinery-company-inc.html', 'http://www.rogers-machinery.com/rmc-products/air-compressor1/', 'https://www.ziprecruiter.com/jobs/rogers-machinery-company-inc-0ac69f6e', 'http://www.manta.com/c/mxfzr8x/rogers-machinery-company', 'http://businessfinder.oregonlive.com/714635/Rogers-Machinery-Company-Portland-OR']"
168587,"ROGERS MACHINERY COMPANY, INC.",,E 16615 EUCLID AVE,,SPOKANE,WA,99216.0,1825.0,USA,5.0,,2L,OR,usa,"['http://www.rogers-machinery.com/', 'https://www.linkedin.com/company/rogers-machinery-company-inc.', 'http://www.rogers-machinery.com/contact-us/', 'http://knw-series.com/', 'http://www.rogers-machinery.com/careers/', 'http://www.thomasnet.com/profile/10046219/rogers-machinery-company-inc.html', 'http://www.rogers-machinery.com/rmc-products/air-compressor1/', 'https://www.ziprecruiter.com/jobs/rogers-machinery-company-inc-0ac69f6e', 'http://www.manta.com/c/mxfzr8x/rogers-machinery-company', 'http://businessfinder.oregonlive.com/714635/Rogers-Machinery-Company-Portland-OR']"
168674,"ORA, INC.",,71 COMMERCE PKWY STE 107,,FREDERICKSBURG,VA,22406.0,7001.0,USA,1.0,,2L,VA,usa,"['http://www.oraclinical.com/', 'https://www.linkedin.com/company/ora-inc', 'http://www.oraclinical.com/careers', 'https://twitter.com/oraclinical?lang=en', 'http://www.oraclinical.com/contact', 'https://www.glassdoor.com/Overview/Working-at-Ora-EI_IE368347.11,14.htm', 'https://www.orainc.com/', 'http://www.orapharma.com/', 'https://www.orainc.com/privacy', 'https://ina.orainc.com/']"
168675,"ORA, INC.",,45 COMMERCE PKWY,,FREDERICKSBURG,VA,22406,1037.0,USA,1.0,,2L,VA,usa,"['http://www.oraclinical.com/', 'https://www.linkedin.com/company/ora-inc', 'http://www.oraclinical.com/careers', 'https://twitter.com/oraclinical?lang=en', 'http://www.oraclinical.com/contact', 'https://www.glassdoor.com/Overview/Working-at-Ora-EI_IE368347.11,14.htm', 'https://www.orainc.com/', 'http://www.orapharma.com/', 'https://www.orainc.com/privacy', 'https://ina.orainc.com/']"
168676,"ORA, INC.",,315 BALDWIN AVE.,,MARION,NC,28752,6656.0,USA,11.0,,2L,VA,usa,"['http://www.oraclinical.com/', 'https://www.linkedin.com/company/ora-inc', 'http://www.oraclinical.com/careers', 'https://twitter.com/oraclinical?lang=en', 'http://www.oraclinical.com/contact', 'https://www.glassdoor.com/Overview/Working-at-Ora-EI_IE368347.11,14.htm', 'https://www.orainc.com/', 'http://www.orapharma.com/', 'https://www.orainc.com/privacy', 'https://ina.orainc.com/']"
168910,"PEPSICO, INC.",PEPSICO,700 ANDERSON HILL RD,,PURCHASE,NY,10577.0,1401.0,USA,17.0,,2L,TX,usa,"['http://www.pepsico.com/', 'https://en.wikipedia.org/wiki/PepsiCo', 'http://www.pepsicojobs.com/', 'https://www.bloomberg.com/quote/PEP:US', 'http://quotes.wsj.com/PEP', 'http://www.google.com/finance?q=NYSE:PEP', 'https://finance.yahoo.com/quote/PEP/', 'http://www.latimes.com/topic/business/consumer-goods-industries/beverage-industry/pepsico-ORCRP011993-topic.html', 'https://www.fool.com/investing/2017/07/05/pepsico-earnings-preview-numbers-and-key-themes-to.aspx', 'https://www.forbes.com/sites/adamsarhan/2017/07/08/earnings-preview-what-to-expect-from-pepsico-inc-on-tuesday/']"
169104,"ROSEDALE PRODUCTS, INC.",,3730 W LIBERTY RD,,ANN ARBOR,MI,48103.0,9763.0,USA,12.0,,2L,MI,usa,"['http://www.rosedaleproducts.com/', 'https://www.rosedaleproducts.com/contact', 'http://www.rosedaleproducts.com/products/housings-c-46_47.html', 'https://www.afssociety.org/buyers-guide/rosedale-products-inc/', 'http://www.rosedaleproducts.com/products', 'https://www.linkedin.com/company/rosedale-products', 'http://www.rosedaleproducts.com/products/filter-bags', 'http://www.flowezyfilters.com/pdfs/rosedalecatalog.pdf', 'http://www.pcimag.com/ext/resources/VirtualBrochure/Rosedale.pdf', 'http://www.filtnews.com/featured-articles/rosedale-products-pleated-cartridges-for-filter-bag-housings/']"
169109,HYATT CORPORATION,,2 ALBANY ST,,NEW BRUNSWICK,NJ,8901,1236.0,USA,6.0,,2L,DE,usa,"['https://www.hyatt.com/', 'https://about.hyatt.com/', 'http://investors.hyatt.com/', 'https://about.hyatt.com/en/hyatthistory.html', 'http://investors.hyatt.com/investor-relations/our-company/default.aspx', 'https://en.wikipedia.org/wiki/Hyatt', 'https://www.linkedin.com/company/hyatt', 'https://thrive.hyatt.com/', 'https://world.hyatt.com/', 'https://www.hyatt.jobs/']"
169117,HYATT CORPORATION,HYATT HOTEL,320 W JEFFERSON ST,,LOUISVILLE,KY,40202,2985.0,USA,3.0,,2L,KY,usa,"['https://www.hyatt.com/', 'https://about.hyatt.com/', 'http://investors.hyatt.com/', 'https://about.hyatt.com/en/hyatthistory.html', 'http://investors.hyatt.com/investor-relations/our-company/default.aspx', 'https://en.wikipedia.org/wiki/Hyatt', 'https://www.linkedin.com/company/hyatt', 'https://thrive.hyatt.com/', 'https://world.hyatt.com/', 'https://www.hyatt.jobs/']"
169118,HYATT CORPORATION,HYATT REGENCY TAMAYA,1300 TUYUNA TRL,,BERNALILLO,NM,87004.0,5940.0,USA,3.0,,2L,IL,usa,"['https://www.hyatt.com/', 'https://about.hyatt.com/', 'http://investors.hyatt.com/', 'https://about.hyatt.com/en/hyatthistory.html', 'http://investors.hyatt.com/investor-relations/our-company/default.aspx', 'https://en.wikipedia.org/wiki/Hyatt', 'https://www.linkedin.com/company/hyatt', 'https://thrive.hyatt.com/', 'https://world.hyatt.com/', 'https://www.hyatt.jobs/']"
