patent_id,NAICS_CODES
9535731,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9535731,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9535731,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9535731,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9535731,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9535731,334111N~518210N~541511N~541512N~541513N~541519E
9536082,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9536082,541519E
9536082,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9536082,334111N~541712E
9536082,334111N~511210N~541519E
9536082,541614N
9536082,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9536082,541712E
9536082,334413N
9536082,518210N
9536082,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9536082,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9536082,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9536082,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9536082,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9536082,334111N~518210N~541511N~541512N~541513N~541519E
9542106,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9542106,541519E
9542106,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9542106,334111N~541712E
9542106,334111N~511210N~541519E
9542106,541614N
9542106,238220N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9542106,541712E
9542106,334413N
9542106,518210N
9542106,334111N~334112N~334118N~334290N~334413N~423430N~511210N~518210N~522220N~541219N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541990N~561210N~611420N~611710N~811212N~811213N
9542106,334111N~518210N~541330E~541511N~541512N~541513N~541519E~541611N~541612N~541618N~541690N~541990N~611420N~611710N
9542106,238220N~334111N~518210N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541618N~541690N~541910N~541990N~561210N~561990N~611420N~611430N~611710N
9542106,238220N~334111N~511210N~518210N~541219N~541330E~541380N~541511N~541512N~541513N~541519E~541611N~541612N~541614N~541618N~541690N~541890N~541910N~541990N~561210N~561422N~561621N~561990N~611420N~611430N~611710N~811212N
9542106,334111N~334112N~334220N~541511N~541512N~541513N~541519E~611420N~611710N
9542106,334111N~518210N~541511N~541512N~541513N~541519E
9550863,334111N~334112N~334290N~334418N~334613N~423430N~541512N~541513N~541519E~541614N~541618N
9550863,541519E
9550863,238220N~334111N~334112N~511210N~541380N~541511N~541512N~541513N~541519E~561990N~611420N~611430N~611710N
9550863,334111N~541712E
9550863,334111N~511210N~541519E
9550863,541614N
