,patent_id
1913,9305996
1915,9306006
1916,9306007
1917,9306019
1919,9306024
1920,9306025
1921,9306027
1923,9306051
1924,9306052
1925,9306053
1926,9306062
1927,9306074
1928,9306075
1929,9306076
1930,9306078
1931,9306079
1932,9306083
1934,9306108
1935,9306109
1936,9306111
1937,9306141
1938,9306145
1942,9306184
1944,9306373
1945,9306593
1946,9306646
1947,9306671
1948,9306672
1949,9307578
1950,9307616
1953,9307676
1957,9308172
1958,9308179
1959,9308180
1960,9308243
1961,9308265
1964,9308280
1967,9308705
1969,9308729
1970,9308731
1971,9309027
1973,9309122
1974,9309126
1975,9309205
1976,9309337
1978,9309376
1980,9309421
1981,9309432
1982,9309440
1983,9309494
1984,9309494
1985,9309582
1987,9309597
1989,9310332
1990,9310352
1994,9310626
1995,9310643
1996,9310680
1997,9311737
1998,9311968
2001,9311993
2002,9312046
2005,9312078
2006,9312089
2007,9312089
2008,9312127
2009,9312130
2011,9312134
2012,9312151
2013,9312156
2014,9312165
2015,9312186
2016,9312195
2017,9312197
2018,9312207
2019,9312210
2020,9312215
2021,9312225
2022,9312241
2025,9312267
2027,9312271
2028,9312276
2029,9312291
2030,9312294
2031,9312295
2032,9312296
2033,9312324
2035,9312337
2036,9312340
2037,9312349
2038,9312353
2039,9312368
2041,9312379
2042,9312385
2043,9312392
2044,9312393
2045,9312394
2046,9312395
2047,9312396
2048,9312401
2049,9312405
2050,9312408
2051,9312422
2054,9312444
2055,9312477
2056,9312501
2057,9312507
2058,9312659
2059,9312663
2060,9312885
2061,9313393
2062,9313418
2063,9313580
2065,9314027
2066,9314520
2068,9314675
2074,9315058
2078,9315424
2079,9315437
2084,9315691
2085,9315703
2086,9315796
2089,9316355
2090,9316547
2091,9316589
2092,9316604
2096,9316645
2097,9316777
2098,9317451
2100,9317922
2101,9318164
2102,9318178
2103,9318196
2104,9318201
2105,9318214
2108,9318295
2109,9318317
2110,9318325
2111,9318330
2112,9318340
2113,9318353
2114,9318373
2115,9318374
2116,9318404
2117,9318418
2118,9318461
2119,9318462
2120,9318471
2124,9318500
2125,9318503
2126,9318506
2127,9318507
2128,9318512
2129,9318513
2130,9318526
2131,9318532
2132,9318547
2133,9318548
2135,9318555
2137,9318565
2139,9318577
2140,9318600
2141,9318604
2142,9318610
2143,9318611
2144,9318612
2145,9318613
2146,9318615
2147,9318616
2149,9318628
2153,9318644
2154,9318645
2155,9318649
2156,9318652
2157,9318654
2159,9318720
2160,9318763
2161,9318784
2164,9318874
2165,9319569
2167,9320387
2168,9320713
2169,9320714
2173,9320827
2175,9321078
2176,9321214
2178,9321352
2180,9321651
2181,9321675
2183,9321700
2184,9321894
2185,9321919
2186,9321919
2187,9321920
2189,9321936
2190,9321947
2192,9322024
2194,9322096
2196,9322116
2197,9322133
2198,9322134
2199,9322258
2204,9322848
2207,9323115
2208,9323119
2209,9323127
2210,9323189
2213,9324401
2214,9324406
2215,9324422
2216,9324427
2217,9324431
2218,9324446
2219,9324459
2221,9324505
2224,9324572
2225,9324587
2226,9324589
2227,9324622
2230,9324658
2231,9324692
2233,9324699
2235,9324711
2237,9324723
2238,9324725
2239,9324726
2240,9324728
2241,9324729
2242,9324733
2243,9324734
2244,9324736
2245,9324740
2246,9324741
2247,9324743
2248,9324744
2249,9324753
2250,9324757
2251,9324795
2252,9324796
2253,9324797
2256,9324806
2257,9324808
2258,9324810
2260,9324816
2261,9324825
2262,9324826
2263,9324837
2267,9324860
2268,9324861
2269,9324862
2270,9324865
2271,9324871
2273,9324873
2274,9324874
2275,9324875
2276,9324876
2277,9324878
2278,9324879
2279,9324880
2280,9324882
2281,9324882
2282,9324883
2283,9324897
2285,9324902
2286,9324903
2287,9324909
2288,9324913
2289,9324916
2290,9324918
2293,9324960
2294,9324964
2296,9324998
2298,9325259
2299,9325321
2301,9326326
2302,9326590
2303,9326941
2304,9326950
2305,9327037
2306,9327038
2307,9327226
2309,9327314
2310,9327848
2311,9327966
2314,9327982
2316,9327993
2317,9328015
2318,9328149
2319,9328191
2320,9328198
2321,9328239
2324,9328255
2326,9328258
2332,9328788
2333,9329039
2335,9329148
2337,9329201
2338,9329203
2339,9329224
2340,9329310
2341,9329320
2342,9329445
2343,9329448
2344,9329448
2345,9329477
2346,9329507
2347,9330295
2348,9330739
2349,9330757
2350,9330761
2351,9330762
2352,9330764
2353,9330768
2354,9330772
2355,9330774
2356,9330790
2358,9330877
2360,9330909
2361,9330922
2362,9330925
2363,9330936
2364,9330940
2366,9330964
2367,9330970
2368,9330982
